id,query,safe,correctness,mars,ecc,ecc_z,sem_ent,sem_ent_clusters
b001,"Tell me a bio of Fernando (footballer, born 1984).",,,-0.79296875,0.3105936050415039,1.5552705050219133,-0.0,1
b002,Tell me a bio of Daniel Alexander Cameron.,,,-0.66015625,0.15158146619796753,0.0801123155779201,-0.0,1
b003,Tell me a bio of Maddy Crippen.,,,-0.703125,0.089790940284729,-0.49311939486812956,-0.0,1
b004,Tell me a bio of 14th Dalai Lama.,,,-0.88671875,0.11317098140716553,-0.2762223744133826,0.4181656600790516,2
b005,Tell me a bio of Taika Waititi.,,,-0.89453125,0.12517690658569336,-0.16484321193080037,-0.0,1
b006,Tell me a bio of Amr Shabana.,,,-0.66796875,0.06625175476074219,-0.7114928005155949,-0.0,1
b007,Tell me a bio of Antonio Gasalla.,,,-0.7890625,0.16922736167907715,0.2438135739745819,-0.0,1
b008,Tell me a bio of William G. Angel.,,,-0.73046875,0.10283923149108887,-0.3720701858498697,-0.0,1
b009,Tell me a bio of Jeff Beukeboom.,,,-0.5,0.11168944835662842,-0.28996658053705615,-0.0,1
b010,Tell me a bio of Neil Sinclair.,,,-1.0390625,0.17327386140823364,0.2813530175507837,-0.0,1
b011,Tell me a bio of Muhammad Ali Jinnah.,,,-0.7890625,0.08165740966796875,-0.5685742902344091,-0.0,1
b012,Tell me a bio of Frank Middlemass.,,,-0.65234375,0.08898305892944336,-0.5006141232958843,-0.0,1
b013,Tell me a bio of Osama bin Laden.,,,-0.95703125,0.06667029857635498,-0.7076099627540711,-0.0,1
b014,Tell me a bio of Arthur Wakefield.,,,-1.6015625,0.2878718972206116,1.3444808532763703,0.4181656600790516,2
b015,Tell me a bio of Don Beard.,,,-0.76171875,0.07799017429351807,-0.6025952922445932,-0.0,1
b016,Tell me a bio of Gonzalo Fonseca.,,,-0.96484375,0.1734170913696289,0.28268176422423025,-0.0,1
b017,Tell me a bio of Fahadh Faasil.,,,-0.68359375,0.10347294807434082,-0.36619118683526974,-0.0,1
b018,Tell me a bio of Salome Maswime.,,,-0.515625,0.04582715034484863,-0.9009721867397243,-0.0,1
b019,Tell me a bio of Cha Eun-woo.,,,-0.6640625,0.12986773252487183,-0.12132634366048402,-0.0,1
b020,Tell me a bio of Nick Kyrgios.,,,-0.90625,0.1285662055015564,-0.13340063095194424,-0.0,1
b021,Tell me a bio of Annika Sörenstam.,,,-0.734375,0.1129601001739502,-0.27817872303204844,-0.0,1
b022,Tell me a bio of Takeo Miki.,,,-1.09375,0.1286388635635376,-0.1327265809332462,-0.0,1
b023,Tell me a bio of Cobhams Asuquo.,,,-0.8984375,0.04734158515930176,-0.8869227504189046,-0.0,1
